question_id,question,method,k,target_tokens,hit_at_k,first_hit_rank,evidence_chunk_id,top1_preview,matched_keyword_count,matched_keywords
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,fixed,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::fixed::1,"the treatment of OUD. Because most physicians who prescribe buprenorphine do not provide psychosocial treatment, the drug court will likely need to assist the participant to secure that treatment else...",5,buprenorphine|partial agonist|withdrawal|office based|suboxone
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,fixed_overlap,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::fixed_overlap::2,"• Participants who discontinue agonist therapy with methadone or buprenorphine and then resume opioid use should be made aware of the risks associated with opioid overdose, especially the increased ri...",5,buprenorphine|partial agonist|withdrawal|office based|suboxone
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,recursive,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::recursive::1,"Buprenorphine (Partial Agonist) • To reduce the risk of precipitated withdrawal, participants should wait until they are experiencing mild to moderate opioid withdrawal before taking the first dose of...",5,buprenorphine|partial agonist|withdrawal|office based|suboxone
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,sentence_pack,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::sentence_pack::1,"• 11  === Page 12 ===  Buprenorphine (Partial Agonist) • To reduce the risk of precipitated withdrawal, participants should wait until they are experiencing mild to moderate opioid withdrawal before t...",5,buprenorphine|partial agonist|withdrawal|office based|suboxone
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,semantic,3,3000,0,,,• The usual daily dose of buprenorphine ranges from 8-24 mg daily. • Buprenorphine may be started in a medical office or at home. • Psychosocial treatment should be provided in conjunction with the us...,0,
Q4,What is methadone and when is it recommended for OUD treatment?,fixed,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::fixed::0,"=== Page 1 === A Drug Court Team Member’s Guide to Medication in Addiction Treatment === Page 2 === Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court coo...",5,methadone|agonist|daily dosing|otp|adherence
Q4,What is methadone and when is it recommended for OUD treatment?,fixed_overlap,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::fixed_overlap::1,applied in drug court settings.5 Referring to an Appropriate Treatment Setting • Counselors collaborate in shared decision-making between the prescribing clinician and participant to choose from avail...,5,methadone|agonist|daily dosing|otp|adherence
Q4,What is methadone and when is it recommended for OUD treatment?,recursive,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::recursive::0,"=== Page 1 ===  A Drug Court Team Member’s Guide to Medication in Addiction Treatment  === Page 2 ===  Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court ...",5,methadone|agonist|daily dosing|otp|adherence
Q4,What is methadone and when is it recommended for OUD treatment?,sentence_pack,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::sentence_pack::0,"=== Page 1 ===  A Drug Court Team Member’s Guide to Medication in Addiction Treatment  === Page 2 ===  Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court ...",5,methadone|agonist|daily dosing|otp|adherence
Q4,What is methadone and when is it recommended for OUD treatment?,semantic,3,3000,1,3,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::semantic::2,"Effective June 27, 2023, the same legislation mandates that new or renewing DEA registrants complete at least 8 hours of training on SUD upon submission of their application or renewal.45 It is import...",4,methadone|daily dosing|otp|adherence
Q5,What is naltrexone and how does it work for opioid addiction?,fixed,3,3000,0,,,"carries no potential for abuse, although high doses may lead to the development of opioid withdrawal symptoms such as vomiting, muscle cramps and agitation. Access to naloxone Access to naloxone is ge...",0,
Q5,What is naltrexone and how does it work for opioid addiction?,fixed_overlap,3,3000,0,,,"jurisdiction. “Illicit drug market”, a more exact term, refers to the production, distribution and sale of any drug outside legally-sanctioned channels. intoxication A condition that follows the admin...",0,
Q5,What is naltrexone and how does it work for opioid addiction?,recursive,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::recursive::2,"Extended-release Naltrexone (Antagonist) • Naltrexone is an antagonist medication. It is a treatment option for preventing relapse in OUD, particularly among participants who become highly motivated d...",6,naltrexone|antagonist|relapse|abstinent|vivitrol|injectable
Q5,What is naltrexone and how does it work for opioid addiction?,sentence_pack,3,3000,1,3,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::sentence_pack::2,"Naloxone (n-allylnoroxymorphone) has been used in opioid overdose management for over 40 years, with minimal adverse effects beyond the induction of opioid withdrawal symptoms (42). It is a semisynthe...",5,naltrexone|antagonist|relapse|vivitrol|injectable
Q5,What is naltrexone and how does it work for opioid addiction?,semantic,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::semantic::1,"• 5  [Table 1] | Agonists | Act on the opioid receptor but have effects which are less intense, slower, and longer- lasting than opioids like heroin. This means that agonists alleviate withdrawal and ...",4,naltrexone|antagonist|blocking|relapse
Q6,How is the FQHC and CCBHC partnership structured for MOUD delivery?,fixed,3,3000,1,1,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::fixed::2","providers known as designated collaborating organizations.69 CCBHCs are required to serve anyone who requests care for mental health or substance use without restriction based on ability to pay, insur...",4,ccbhc|access|moud|behavioral health
Q6,How is the FQHC and CCBHC partnership structured for MOUD delivery?,fixed_overlap,3,3000,1,3,CIB on Opportunities to Address MH and SUD Needs of Homeless Individuals.txt::fixed_overlap::0,Basic Coding for Integrated Behavioral Health Care Updated February 2025 Always check with your state and all payors to determine the necessary qualifications for the designated billing providers. Not...,4,ccbhc|access|moud|behavioral health
Q6,How is the FQHC and CCBHC partnership structured for MOUD delivery?,recursive,3,3000,1,1,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::recursive::2",Facility Licensing and Certification Policies Regarding the Use of Medication for AUD and OUD Efforts are ongoing to improve the integration of treatment for SUDs with other components of the health c...,4,ccbhc|access|moud|behavioral health
Q6,How is the FQHC and CCBHC partnership structured for MOUD delivery?,sentence_pack,3,3000,1,1,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::sentence_pack::2","Certified Community Behavioral Health Clinics There are over 500 CCBHCs, 82 percent of which provide at least one form of MOUD.68 CCBHCs provide a comprehensive array of mental health and substance us...",4,ccbhc|access|moud|behavioral health
Q6,How is the FQHC and CCBHC partnership structured for MOUD delivery?,semantic,3,3000,0,,,Basic Coding for Integrated Behavioral Health Care Updated February 2025  Always check with your state and all payors to determine the necessary qualifications for the designated billing providers. No...,0,
Q7,What training do staff receive for the MOUD program?,fixed,3,3000,0,,,"partnered with an MMCO that contracted with three behavioral health providers to operate the mobile health units, which were staffed with a licensed nurse or certified SUD counselor and a peer support...",0,
Q7,What training do staff receive for the MOUD program?,fixed_overlap,3,3000,0,,,"partnered with an MMCO that contracted with three behavioral health providers to operate the mobile health units, which were staffed with a licensed nurse or certified SUD counselor and a peer support...",0,
Q7,What training do staff receive for the MOUD program?,recursive,3,3000,0,,,Facility Licensing and Certification Policies Regarding the Use of Medication for AUD and OUD Efforts are ongoing to improve the integration of treatment for SUDs with other components of the health c...,0,
Q7,What training do staff receive for the MOUD program?,sentence_pack,3,3000,0,,,"Certified Community Behavioral Health Clinics There are over 500 CCBHCs, 82 percent of which provide at least one form of MOUD.68 CCBHCs provide a comprehensive array of mental health and substance us...",0,
Q7,What training do staff receive for the MOUD program?,semantic,3,3000,0,,,"Subsequently, a multidisciplinary, multistakeholder Advisory Committee of experts from across Canada was struck to guide the project. A subset of the Advisory Committee, an Education Working Group, wa...",0,
Q8,How is medication-assisted treatment billed and financed?,fixed,3,3000,1,1,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::fixed::1","for AUD, OUD, and opioid overdose among Medicaid beneficiaries. This chapter reviews policies that improve access to medication for AUD and OUD, policies that address barriers to accessing these medic...",4,medicaid|billing|insurance|code
Q8,How is medication-assisted treatment billed and financed?,fixed_overlap,3,3000,0,,,(Humira)—a medication that treats autoimmune disorders—engaged in a fraudulent scheme to overcharge patients and insurance companies for the drug in violation of consumer protection laws. Another exam...,0,
Q8,How is medication-assisted treatment billed and financed?,recursive,3,3000,0,,,"35 Conclusion The need for access to SUD treatment is critical. In 2021, nearly a quarter of a million people in the United States died due to either drug overdose or causes associated with AUD.9,106 ...",0,
Q8,How is medication-assisted treatment billed and financed?,sentence_pack,3,3000,1,2,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::sentence_pack::4","◼ Affordability: Deidre McPhillips, “Drug Costs Lead Millions in the US to Not Take Medications as Prescribed, According to CDC,” CNN, June 2, 2023; and Laryssa Mykyta and Robin A. Cohen, “Characteris...",5,medicaid|billing|insurance|grant|reimburse
Q8,How is medication-assisted treatment billed and financed?,semantic,3,3000,0,,,"Nearly three-quarters of clients in the program utilized public insurance, such as Medicaid or Medicare, followed by private insurance (25%), and self-pay (1%). More than one-third (38%) of clients we...",0,
Q9,What is opioid withdrawal and how should it be managed?,fixed,3,3000,0,,,"out in a therapeutic context at an individual, family or group level. Psychosocial interventions range from structured, professionally-administered psychological interventions (such as cognitive behav...",0,
Q9,What is opioid withdrawal and how should it be managed?,fixed_overlap,3,3000,0,,,"“cold turkey.” When participants try to quit “cold turkey,” it can lead to risky complications, stronger cravings, and continued use. • WM on its own is not a treatment method. Abrupt cessation of opi...",0,
Q9,What is opioid withdrawal and how should it be managed?,recursive,3,3000,0,,,"Extended-release Naltrexone (Antagonist) • Naltrexone is an antagonist medication. It is a treatment option for preventing relapse in OUD, particularly among participants who become highly motivated d...",0,
Q9,What is opioid withdrawal and how should it be managed?,sentence_pack,3,3000,0,,,"In the field of toxicology, the term poisoning is used more broadly to denote a state resulting from the administration of excessive amounts of any pharmacological agent, psychoactive or not. See also...",0,
Q9,What is opioid withdrawal and how should it be managed?,semantic,3,3000,0,,,"This includes engaging the participant in understanding and consenting to medication and ensuring continuity of care by use of case and care managers, recovery coaches, peer mentors, and peer support....",0,
Q10,What psychosocial treatments are recommended alongside medication for OUD?,fixed,3,3000,1,1,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::fixed::1","for AUD, OUD, and opioid overdose among Medicaid beneficiaries. This chapter reviews policies that improve access to medication for AUD and OUD, policies that address barriers to accessing these medic...",5,counseling|treatment|behavioral|recovery|support
Q10,What psychosocial treatments are recommended alongside medication for OUD?,fixed_overlap,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::fixed_overlap::0,"=== Page 1 === A Drug Court Team Member’s Guide to Medication in Addiction Treatment === Page 2 === Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court coo...",6,psychosocial|counseling|treatment|behavioral|recovery|support
Q10,What psychosocial treatments are recommended alongside medication for OUD?,recursive,3,3000,1,1,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::recursive::1","Policies and Regulations Affecting Access to Medications for Alcohol Use Disorder, Opioid Use Disorder, and Opioid Overdose A number of national policies and regulations impact the prescription and pr...",5,counseling|treatment|behavioral|recovery|support
Q10,What psychosocial treatments are recommended alongside medication for OUD?,sentence_pack,3,3000,1,1,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::sentence_pack::1","6 CHAPTER 2 Policies and Regulations Affecting Access to Medications for Alcohol Use Disorder, Opioid Use Disorder, and Opioid Overdose A number of national policies and regulations impact the prescri...",5,counseling|treatment|behavioral|recovery|support
Q10,What psychosocial treatments are recommended alongside medication for OUD?,semantic,3,3000,1,1,SAMHSA Overdose Prevention and Response Toolkit.txt::semantic::7,"These symptoms are uncomfortable and can be quite miserable, but they are generally not life threatening. Offer the person options for treatment, peer support, and other behavioral health resources (e...",4,treatment|behavioral|recovery|support
Q11,What is the role of drug testing in drug court programs?,fixed,3,3000,1,3,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::fixed::0,22 === Endnotes 1 ASAM Definition of Addiction. www.asam.org/for-the-public/ definition-of-addiction 2 National Institute on Drug Abuse. Principles of Drug Abuse Treatment for Criminal Justice Populat...,6,drug testing|toxicology|testing|substance use|sanctions|self report
Q11,What is the role of drug testing in drug court programs?,fixed_overlap,3,3000,1,3,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::fixed_overlap::0,"=== Page 1 === A Drug Court Team Member’s Guide to Medication in Addiction Treatment === Page 2 === Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court coo...",6,drug testing|toxicology|testing|substance use|sanctions|self report
Q11,What is the role of drug testing in drug court programs?,recursive,3,3000,1,3,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::recursive::0,"=== Page 1 ===  A Drug Court Team Member’s Guide to Medication in Addiction Treatment  === Page 2 ===  Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court ...",6,drug testing|toxicology|testing|substance use|sanctions|self report
Q11,What is the role of drug testing in drug court programs?,sentence_pack,3,3000,1,2,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::sentence_pack::0,"=== Page 1 ===  A Drug Court Team Member’s Guide to Medication in Addiction Treatment  === Page 2 ===  Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court ...",6,drug testing|toxicology|testing|substance use|sanctions|self report
Q11,What is the role of drug testing in drug court programs?,semantic,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::semantic::5,©2018 ASAM and NADCP All rights reserved. • 17  === Page 18 ===  Procedures to Assure Treatment Adherence The following standards and procedures are adapted from the NADCP Adult Drug Court Best Practi...,6,drug testing|toxicology|testing|substance use|sanctions|self report
Q12,How are patients assessed and diagnosed for opioid use disorder?,fixed,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::fixed::0,"=== Page 1 === A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioid Treatment Programs (OTPs) === Page 2 === Introduction This pock...",6,assessment|diagnosis|asam|clinician|multidimensional|evaluation
Q12,How are patients assessed and diagnosed for opioid use disorder?,fixed_overlap,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::fixed_overlap::0,"=== Page 1 === A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioid Treatment Programs (OTPs) === Page 2 === Introduction This pock...",6,assessment|diagnosis|asam|clinician|multidimensional|evaluation
Q12,How are patients assessed and diagnosed for opioid use disorder?,recursive,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::recursive::0,"=== Page 1 ===  A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioid Treatment Programs (OTPs)  === Page 2 ===  Introduction This p...",6,assessment|diagnosis|asam|clinician|multidimensional|evaluation
Q12,How are patients assessed and diagnosed for opioid use disorder?,sentence_pack,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::sentence_pack::0,"=== Page 1 ===  A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioid Treatment Programs (OTPs)  === Page 2 ===  Introduction This p...",6,assessment|diagnosis|asam|clinician|multidimensional|evaluation
Q12,How are patients assessed and diagnosed for opioid use disorder?,semantic,3,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::semantic::0,"=== Page 1 ===  A Drug Court Clinician’s Guide for Linking People to Opioid Treatment Services in Outpatient Offices, Clinics, and Opioid Treatment Programs (OTPs)  === Page 2 ===  Introduction This p...",4,assessment|diagnosis|asam|clinician
Q13,What are the successes and challenges of the Access-Clark MOUD partnership?,fixed,3,3000,0,,,"partnered with an MMCO that contracted with three behavioral health providers to operate the mobile health units, which were staffed with a licensed nurse or certified SUD counselor and a peer support...",0,
Q13,What are the successes and challenges of the Access-Clark MOUD partnership?,fixed_overlap,3,3000,0,,,"partnered with an MMCO that contracted with three behavioral health providers to operate the mobile health units, which were staffed with a licensed nurse or certified SUD counselor and a peer support...",0,
Q13,What are the successes and challenges of the Access-Clark MOUD partnership?,recursive,3,3000,1,2,"Medicaid Coverage of Medications to Reverse Opioid Overdose and Treat Alcohol and Opioid Use Disorders, Report.txt::recursive::5",Facility Licensing and Certification Policies Regarding the Use of Medication for AUD and OUD Efforts are ongoing to improve the integration of treatment for SUDs with other components of the health c...,4,access|clark|psychiatry|therapy
Q13,What are the successes and challenges of the Access-Clark MOUD partnership?,sentence_pack,3,3000,0,,,The study found that patients who had the SUN intervention were three times more likely to engage in treatment within 30 days of discharge compared to those who did not.90 CA Bridge is working with ho...,0,
Q13,What are the successes and challenges of the Access-Clark MOUD partnership?,semantic,3,3000,0,,,"Data Exchange Regulations Title 42, Part 2 of the CFR prohibits certain types of treatment programs from disclosing that patients have SUD without patient consent or court order. These regulations and...",0,
Q14,What types of staff are involved in the MOUD care team?,fixed,3,3000,1,2,Healing Hands for January 2024.txt::fixed::2,"partnered with an MMCO that contracted with three behavioral health providers to operate the mobile health units, which were staffed with a licensed nurse or certified SUD counselor and a peer support...",4,psychiatrist|nurse practitioner|outreach|nursing
Q14,What types of staff are involved in the MOUD care team?,fixed_overlap,3,3000,0,,,"partnered with an MMCO that contracted with three behavioral health providers to operate the mobile health units, which were staffed with a licensed nurse or certified SUD counselor and a peer support...",0,
Q14,What types of staff are involved in the MOUD care team?,recursive,3,3000,0,,,"Healing Hands IV. Transitions Clinic Network (cont.) These suggestions for considerations are just a starting point. “Sometimes people want a three-item checklist” for their organizations, says Dr. Sh...",0,
Q14,What types of staff are involved in the MOUD care team?,sentence_pack,3,3000,1,1,Healing Hands for January 2024.txt::sentence_pack::2,"Transitions Clinic Network (cont.) These suggestions for considerations are just a starting point. “Sometimes people want a three-item checklist” for their organizations, says Dr. Shavit, “but this is...",4,psychiatrist|nurse practitioner|outreach|nursing
Q14,What types of staff are involved in the MOUD care team?,semantic,3,3000,0,,,©2018 ASAM and NADCP All rights reserved. • 17  === Page 18 ===  Procedures to Assure Treatment Adherence The following standards and procedures are adapted from the NADCP Adult Drug Court Best Practi...,0,
Q15,How can drug court participants be linked to medication-assisted treatment providers?,fixed,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::fixed::0,"=== Page 1 === A Drug Court Team Member’s Guide to Medication in Addiction Treatment === Page 2 === Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court coo...",5,provider|samhsa|physician|refer|office based
Q15,How can drug court participants be linked to medication-assisted treatment providers?,fixed_overlap,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::fixed_overlap::0,"=== Page 1 === A Drug Court Team Member’s Guide to Medication in Addiction Treatment === Page 2 === Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court coo...",5,provider|samhsa|physician|refer|office based
Q15,How can drug court participants be linked to medication-assisted treatment providers?,recursive,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::recursive::0,"=== Page 1 ===  A Drug Court Team Member’s Guide to Medication in Addiction Treatment  === Page 2 ===  Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court ...",5,provider|samhsa|physician|refer|office based
Q15,How can drug court participants be linked to medication-assisted treatment providers?,sentence_pack,3,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::sentence_pack::0,"=== Page 1 ===  A Drug Court Team Member’s Guide to Medication in Addiction Treatment  === Page 2 ===  Introduction This pocket guide is intended for non-clinical drug court team members (e.g., court ...",5,provider|samhsa|physician|refer|office based
Q15,How can drug court participants be linked to medication-assisted treatment providers?,semantic,3,3000,0,,,©2018 ASAM and NADCP All rights reserved. • 17  === Page 18 ===  Procedures to Assure Treatment Adherence The following standards and procedures are adapted from the NADCP Adult Drug Court Best Practi...,0,
Q1,How should someone respond to an opioid overdose?,fixed,5,3000,1,3,SAMHSA Overdose Prevention and Response Toolkit.txt::fixed::1,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",4,naloxone|overdose|breathing|injection
Q1,How should someone respond to an opioid overdose?,fixed_overlap,5,3000,1,2,SAMHSA Overdose Prevention and Response Toolkit.txt::fixed_overlap::3,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",4,naloxone|overdose|911|breathing
Q1,How should someone respond to an opioid overdose?,recursive,5,3000,1,3,14104_Community Management of Opioid Overdose.txt::recursive::6,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia  1211 Geneva 27  Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abus...",5,naloxone|overdose|breathing|intranasal|injection
Q1,How should someone respond to an opioid overdose?,sentence_pack,5,3000,1,2,14104_Community Management of Opioid Overdose.txt::sentence_pack::5,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",5,naloxone|overdose|breathing|intranasal|injection
Q1,How should someone respond to an opioid overdose?,semantic,5,3000,1,2,SAMHSA Overdose Prevention and Response Toolkit.txt::semantic::6,"Contact Management of Substance Abuse Department of Mental Health and Substance Abuse 20, Avenue Appia 1211 Geneva 27 Switzerland Tel: + 41 22 791 21 11 Email: msb@who.int www.who.int/substance_abuse ...",4,naloxone|overdose|911|breathing
Q2,What are the signs and symptoms of opioid overdose?,fixed,5,3000,1,1,SAMHSA Overdose Prevention and Response Toolkit.txt::fixed::2,"and potentially lifesaving. Extreme experiences of withdrawal can be painful, dangerous, and traumatizing, leading to negative feelings towards OORMs and people who use it. Fear of withdrawal may prev...",4,shallow breathing|blue|purple|awaken
Q2,What are the signs and symptoms of opioid overdose?,fixed_overlap,5,3000,0,,,"statistically significant differences between IN and IM routes of administration. 47 Community management of opioid overdose Other evidence In a classroom based RCT in Ireland, 18 advanced paramedic t...",0,
Q2,What are the signs and symptoms of opioid overdose?,recursive,5,3000,0,,,"17. National Harm Reduction Coalition. Recognizing Opioid Overdose, 2023.https://harmreduction.org/issues/overdose-prevention/overview/overdose-basics/recognizing- opioid-overdose/. Accessed Sep 1, 20...",0,
Q2,What are the signs and symptoms of opioid overdose?,sentence_pack,5,3000,0,,,"Overdose prevention includes taking steps to reduce the risk of overdose in the first place, responding to an overdose by administering opioid overdose reversal medications (e.g., naloxone or nalmefen...",0,
Q2,What are the signs and symptoms of opioid overdose?,semantic,5,3000,1,1,SAMHSA Overdose Prevention and Response Toolkit.txt::semantic::6,"However, in some cases, waiting 2-3 minutes before administering a second dose and ensuring that effective rescue breaths are being provided would have been sufficient to reverse the overdose. Taking ...",4,shallow breathing|blue|purple|awaken
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,fixed,5,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::fixed::1,"the treatment of OUD. Because most physicians who prescribe buprenorphine do not provide psychosocial treatment, the drug court will likely need to assist the participant to secure that treatment else...",5,buprenorphine|partial agonist|withdrawal|office based|suboxone
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,fixed_overlap,5,3000,1,1,a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt::fixed_overlap::2,"• Participants who discontinue agonist therapy with methadone or buprenorphine and then resume opioid use should be made aware of the risks associated with opioid overdose, especially the increased ri...",5,buprenorphine|partial agonist|withdrawal|office based|suboxone
Q3,What is buprenorphine and how is it used to treat opioid use disorder?,recursive,5,3000,1,1,a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt::recursive::1,"Buprenorphine (Partial Agonist) • To reduce the risk of precipitated withdrawal, participants should wait until they are experiencing mild to moderate opioid withdrawal before taking the first dose of...",5,buprenorphine|partial agonist|withdrawal|office based|suboxone
